Standard-Atmospheric Data Table (SI Units)
h (m)	rho (kg/m^3)	a (m/s)	T (K)	P (Pa)	kvisc (m^2/s)
0.0	1.2250000181	340.29	288.15	101325.00000	0.000014607
100.0	1.2132827837	340.29	287.50	100129.43774	0.000014722
200.0	1.2016514845	340.29	286.85	98945.32399	0.000014839
300.0	1.1901056829	340.29	286.20	97772.57468	0.000014956
400.0	1.1786449424	340.29	285.55	96611.10620	0.000015075
500.0	1.1672688279	340.29	284.90	95460.83534	0.000015195
600.0	1.1559769054	340.29	284.25	94321.67931	0.000015316
700.0	1.1447687422	340.29	283.60	93193.55577	0.000015438
800.0	1.1336439069	340.29	282.95	92076.38279	0.000015562
900.0	1.1226019693	340.29	282.30	90970.07887	0.000015687
1000.0	1.1116425003	340.29	281.65	89874.56292	0.000015813
1100.0	1.1007650723	340.29	281.00	88789.75427	0.000015940
1200.0	1.0899692587	340.29	280.35	87715.57268	0.000016069
1300.0	1.0792546343	340.29	279.70	86651.93832	0.000016199
1400.0	1.0686207750	340.29	279.05	85598.77179	0.000016331
1500.0	1.0580672581	340.29	278.40	84555.99407	0.000016463
1600.0	1.0475936619	340.29	277.75	83523.52660	0.000016598
1700.0	1.0371995663	340.29	277.10	82501.29121	0.000016733
1800.0	1.0268845520	340.29	276.45	81489.21013	0.000016870
1900.0	1.0166482013	340.29	275.80	80487.20602	0.000017008
2000.0	1.0064900975	340.29	275.15	79495.20193	0.000017148
2100.0	0.9964098251	340.29	274.50	78513.12135	0.000017290
2200.0	0.9864069702	340.29	273.85	77540.88814	0.000017432
2300.0	0.9764811196	340.29	273.20	76578.42660	0.000017577
2400.0	0.9666318618	340.29	272.55	75625.66139	0.000017722
2500.0	0.9568587862	340.29	271.90	74682.51762	0.000017870
2600.0	0.9471614836	340.29	271.25	73748.92078	0.000018019
2700.0	0.9375395460	340.29	270.60	72824.79676	0.000018169
2800.0	0.9279925666	340.29	269.95	71910.07184	0.000018321
2900.0	0.9185201398	340.29	269.30	71004.67272	0.000018475
3000.0	0.9091218612	340.29	268.65	70108.52650	0.000018630
3100.0	0.8997973278	340.29	268.00	69221.56064	0.000018787
3200.0	0.8905461376	340.29	267.35	68343.70303	0.000018946
3300.0	0.8813678901	340.29	266.70	67474.88194	0.000019106
3400.0	0.8722621856	340.29	266.05	66615.02603	0.000019269
3500.0	0.8632286260	340.29	265.40	65764.06436	0.000019432
3600.0	0.8542668143	340.29	264.75	64921.92638	0.000019598
3700.0	0.8453763547	340.29	264.10	64088.54191	0.000019766
3800.0	0.8365568526	340.29	263.45	63263.84118	0.000019935
3900.0	0.8278079146	340.29	262.80	62447.75479	0.000020106
4000.0	0.8191291487	340.29	262.15	61640.21374	0.000020279
4100.0	0.8105201638	340.29	261.50	60841.14940	0.000020454
4200.0	0.8019805703	340.29	260.85	60050.49354	0.000020631
4300.0	0.7935099797	340.29	260.20	59268.17830	0.000020809
4400.0	0.7851080047	340.29	259.55	58494.13619	0.000020990
4500.0	0.7767742592	340.29	258.90	57728.30011	0.000021173
4600.0	0.7685083585	340.29	258.25	56970.60335	0.000021358
4700.0	0.7603099187	340.29	257.60	56220.97956	0.000021545
4800.0	0.7521785576	340.29	256.95	55479.36277	0.000021733
4900.0	0.7441138938	340.29	256.30	54745.68739	0.000021925
5000.0	0.7361155474	340.29	255.65	54019.88819	0.000022118
5100.0	0.7281831396	340.29	255.00	53301.90033	0.000022313
5200.0	0.7203162927	340.29	254.35	52591.65932	0.000022511
5300.0	0.7125146304	340.29	253.70	51889.10106	0.000022710
5400.0	0.7047777775	340.29	253.05	51194.16181	0.000022912
5500.0	0.6971053601	340.29	252.40	50506.77820	0.000023117
5600.0	0.6894970052	340.29	251.75	49826.88722	0.000023323
5700.0	0.6819523415	340.29	251.10	49154.42622	0.000023532
5800.0	0.6744709984	340.29	250.45	48489.33293	0.000023744
5900.0	0.6670526069	340.29	249.80	47831.54544	0.000023958
6000.0	0.6596967989	340.29	249.15	47181.00219	0.000024174
6100.0	0.6524032078	340.29	248.50	46537.64198	0.000024393
6200.0	0.6451714679	340.29	247.85	45901.40398	0.000024614
6300.0	0.6380012149	340.29	247.20	45272.22772	0.000024838
6400.0	0.6308920855	340.29	246.55	44650.05308	0.000025064
6500.0	0.6238437180	340.29	245.90	44034.82029	0.000025293
6600.0	0.6168557514	340.29	245.25	43426.46994	0.000025525
6700.0	0.6099278262	340.29	244.60	42824.94297	0.000025759
6800.0	0.6030595840	340.29	243.95	42230.18068	0.000025997
6900.0	0.5962506676	340.29	243.30	41642.12472	0.000026237
7000.0	0.5895007210	340.29	242.65	41060.71708	0.000026479
7100.0	0.5828093895	340.29	242.00	40485.90011	0.000026725
7200.0	0.5761763193	340.29	241.35	39917.61650	0.000026974
7300.0	0.5696011582	340.29	240.70	39355.80928	0.000027225
7400.0	0.5630835548	340.29	240.05	38800.42185	0.000027480
7500.0	0.5566231591	340.29	239.40	38251.39791	0.000027737
7600.0	0.5502196223	340.29	238.75	37708.68156	0.000027998
7700.0	0.5438725967	340.29	238.10	37172.21719	0.000028262
7800.0	0.5375817358	340.29	237.45	36641.94956	0.000028529
7900.0	0.5313466943	340.29	236.80	36117.82376	0.000028799
8000.0	0.5251671282	340.29	236.15	35599.78521	0.000029072
8100.0	0.5190426944	340.29	235.50	35087.77969	0.000029349
8200.0	0.5129730513	340.29	234.85	34581.75329	0.000029629
8300.0	0.5069578583	340.29	234.20	34081.65246	0.000029912
8400.0	0.5009967760	340.29	233.55	33587.42395	0.000030199
8500.0	0.4950894662	340.29	232.90	33099.01487	0.000030490
8600.0	0.4892355919	340.29	232.25	32616.37266	0.000030784
8700.0	0.4834348174	340.29	231.60	32139.44507	0.000031081
8800.0	0.4776868078	340.29	230.95	31668.18020	0.000031383
8900.0	0.4719912297	340.29	230.30	31202.52647	0.000031688
9000.0	0.4663477509	340.29	229.65	30742.43261	0.000031997
9100.0	0.4607560402	340.29	229.00	30287.84771	0.000032309
9200.0	0.4552157676	340.29	228.35	29838.72115	0.000032626
9300.0	0.4497266044	340.29	227.70	29395.00266	0.000032946
9400.0	0.4442882230	340.29	227.05	28956.64227	0.000033271
9500.0	0.4389002969	340.29	226.40	28523.59035	0.000033600
9600.0	0.4335625009	340.29	225.75	28095.79757	0.000033932
9700.0	0.4282745108	340.29	225.10	27673.21493	0.000034269
9800.0	0.4230360038	340.29	224.45	27255.79374	0.000034611
9900.0	0.4178466582	340.29	223.80	26843.48565	0.000034956
10000.0	0.4127061532	340.29	223.15	26436.24259	0.000035306
10100.0	0.4076141695	340.29	222.50	26034.01683	0.000035661
10200.0	0.4025703889	340.29	221.85	25636.76094	0.000036020
10300.0	0.3975744943	340.29	221.20	25244.42780	0.000036383
10400.0	0.3926261697	340.29	220.55	24856.97060	0.000036752
10500.0	0.3877251004	340.29	219.90	24474.34286	0.000037125
10600.0	0.3828709728	340.29	219.25	24096.49839	0.000037503
10700.0	0.3780634744	340.29	218.60	23723.39130	0.000037885
10800.0	0.3733022941	340.29	217.95	23354.97601	0.000038273
10900.0	0.3685871216	340.29	217.30	22991.20727	0.000038666
11000.0	0.3639176481	340.29	216.65	22632.04010	0.000039064
11100.0	0.3582240928	340.29	216.65	22277.95787	0.000039685
11200.0	0.3526196142	340.29	216.65	21929.41532	0.000040316
11300.0	0.3471028186	340.29	216.65	21586.32578	0.000040957
11400.0	0.3416723343	340.29	216.65	21248.60393	0.000041607
11500.0	0.3363268108	340.29	216.65	20916.16580	0.000042269
11600.0	0.3310649190	340.29	216.65	20588.92873	0.000042941
11700.0	0.3258853504	340.29	216.65	20266.81134	0.000043623
11800.0	0.3207868170	340.29	216.65	19949.73353	0.000044316
11900.0	0.3157680512	340.29	216.65	19637.61645	0.000045021
12000.0	0.3108278047	340.29	216.65	19330.38251	0.000045736
12100.0	0.3059648493	340.29	216.65	19027.95529	0.000046463
12200.0	0.3011779757	340.29	216.65	18730.25960	0.000047202
12300.0	0.2964659936	340.29	216.65	18437.22141	0.000047952
12400.0	0.2918277312	340.29	216.65	18148.76785	0.000048714
12500.0	0.2872620353	340.29	216.65	17864.82721	0.000049488
12600.0	0.2827677705	340.29	216.65	17585.32886	0.000050275
12700.0	0.2783438192	340.29	216.65	17310.20331	0.000051074
12800.0	0.2739890815	340.29	216.65	17039.38215	0.000051886
12900.0	0.2697024743	340.29	216.65	16772.79803	0.000052710
13000.0	0.2654829319	340.29	216.65	16510.38467	0.000053548
13100.0	0.2613294050	340.29	216.65	16252.07682	0.000054399
13200.0	0.2572408607	340.29	216.65	15997.81023	0.000055264
13300.0	0.2532162824	340.29	216.65	15747.52169	0.000056142
13400.0	0.2492546694	340.29	216.65	15501.14896	0.000057035
13500.0	0.2453550364	340.29	216.65	15258.63077	0.000057941
13600.0	0.2415164140	340.29	216.65	15019.90682	0.000058862
13700.0	0.2377378474	340.29	216.65	14784.91775	0.000059798
13800.0	0.2340183972	340.29	216.65	14553.60512	0.000060748
13900.0	0.2303571384	340.29	216.65	14325.91142	0.000061713
14000.0	0.2267531606	340.29	216.65	14101.78003	0.000062694
14100.0	0.2232055678	340.29	216.65	13881.15522	0.000063691
14200.0	0.2197134776	340.29	216.65	13663.98211	0.000064703
14300.0	0.2162760218	340.29	216.65	13450.20672	0.000065731
14400.0	0.2128923456	340.29	216.65	13239.77588	0.000066776
14500.0	0.2095616076	340.29	216.65	13032.63727	0.000067837
14600.0	0.2062829795	340.29	216.65	12828.73938	0.000068916
14700.0	0.2030556462	340.29	216.65	12628.03151	0.000070011
14800.0	0.1998788051	340.29	216.65	12430.46375	0.000071124
14900.0	0.1967516662	340.29	216.65	12235.98696	0.000072254
15000.0	0.1936734520	340.29	216.65	12044.55281	0.000073403
15100.0	0.1906433969	340.29	216.65	11856.11367	0.000074569
15200.0	0.1876607476	340.29	216.65	11670.62270	0.000075754
15300.0	0.1847247624	340.29	216.65	11488.03376	0.000076958
15400.0	0.1818347111	340.29	216.65	11308.30146	0.000078182
15500.0	0.1789898752	340.29	216.65	11131.38111	0.000079424
15600.0	0.1761895473	340.29	216.65	10957.22870	0.000080687
15700.0	0.1734330310	340.29	216.65	10785.80094	0.000081969
15800.0	0.1707196409	340.29	216.65	10617.05520	0.000083272
15900.0	0.1680487022	340.29	216.65	10450.94951	0.000084595
16000.0	0.1654195509	340.29	216.65	10287.44258	0.000085940
16100.0	0.1628315331	340.29	216.65	10126.49374	0.000087306
16200.0	0.1602840052	340.29	216.65	9968.06297	0.000088693
16300.0	0.1577763339	340.29	216.65	9812.11088	0.000090103
16400.0	0.1553078956	340.29	216.65	9658.59869	0.000091535
16500.0	0.1528780763	340.29	216.65	9507.48822	0.000092990
16600.0	0.1504862721	340.29	216.65	9358.74191	0.000094468
16700.0	0.1481318880	340.29	216.65	9212.32275	0.000095969
16800.0	0.1458143387	340.29	216.65	9068.19435	0.000097495
16900.0	0.1435330479	340.29	216.65	8926.32086	0.000099044
17000.0	0.1412874482	340.29	216.65	8786.66701	0.000100618
17100.0	0.1390769814	340.29	216.65	8649.19807	0.000102218
17200.0	0.1369010976	340.29	216.65	8513.87985	0.000103842
17300.0	0.1347592560	340.29	216.65	8380.67871	0.000105493
17400.0	0.1326509239	340.29	216.65	8249.56152	0.000107169
17500.0	0.1305755769	340.29	216.65	8120.49569	0.000108873
17600.0	0.1285326992	340.29	216.65	7993.44911	0.000110603
17700.0	0.1265217826	340.29	216.65	7868.39020	0.000112361
17800.0	0.1245423272	340.29	216.65	7745.28786	0.000114147
17900.0	0.1225938407	340.29	216.65	7624.11148	0.000115961
18000.0	0.1206758386	340.29	216.65	7504.83092	0.000117804
18100.0	0.1187878440	340.29	216.65	7387.41653	0.000119677
18200.0	0.1169293874	340.29	216.65	7271.83910	0.000121579
18300.0	0.1151000066	340.29	216.65	7158.06991	0.000123511
18400.0	0.1132992469	340.29	216.65	7046.08065	0.000125474
18500.0	0.1115266603	340.29	216.65	6935.84348	0.000127468
18600.0	0.1097818062	340.29	216.65	6827.33100	0.000129494
18700.0	0.1080642507	340.29	216.65	6720.51621	0.000131553
18800.0	0.1063735665	340.29	216.65	6615.37256	0.000133643
18900.0	0.1047093335	340.29	216.65	6511.87390	0.000135768
19000.0	0.1030711376	340.29	216.65	6409.99449	0.000137925
19100.0	0.1014585716	340.29	216.65	6309.70901	0.000140118
19200.0	0.0998712345	340.29	216.65	6210.99250	0.000142345
19300.0	0.0983087316	340.29	216.65	6113.82044	0.000144607
